ra,dec,phot_g_mean_mag,bp_rp
117.83036387972605,54.73223582694539,6.4389544,1.836865
109.97001443980639,59.25275128187871,6.2269626,1.619916
99.00892673225748,56.385796844313646,6.472109,0.5261407
94.09171385521728,56.734692499507055,5.5330234,3.4907918
140.18208798822297,51.26670357695748,6.033801,0.6016278
120.3367368247351,59.047514090726956,5.677026,0.5600147
108.49216429374935,71.81666987065631,6.0702744,1.2354798
100.13445167095949,71.74883533862031,5.5223527,1.351892
101.55652486903517,79.56212608725718,5.3004165,0.6893873
267.19668740488027,45.6997532360278,6.1012936,3.7902904
228.3982091878594,38.26448609842576,5.825101,1.3750043
252.497356825392,46.64924191066073,6.4071813,1.5847459
268.8488399784976,55.9719430760278,6.018775,0.44236517
256.33346232929046,54.47105361648125,5.5903277,0.6385226
256.3334175281892,54.4703527129838,5.508497,0.63226366
219.5518143375385,43.64226526699957,5.1737933,1.7026191
211.98238473495357,43.85431544066182,3.792248,2.8068156
210.7488849623496,50.97178326428549,6.155564,0.01679945
186.26325269491625,56.777773553165225,4.8861985,2.3094358
195.183114888134,56.366353759527094,4.8859625,0.51829433
191.82915213986135,62.78117825167854,5.8530855,0.2788887
233.81735191169977,53.92215081741584,5.629723,1.3031106
233.9873704019351,54.630503398450905,5.764079,0.058218002
214.73283099390298,54.86375905615558,6.4574633,0.23295069
248.75245151164074,60.468154932261776,5.7754393,3.2072306
265.4848727514217,72.14766082787942,4.4444957,0.6082969
265.49259095531403,72.15567296217928,5.6569943,0.6891084
188.68299231546547,70.02175947341266,4.4447007,1.5835404
184.70765754693775,75.16057861696932,5.447877,0.090026855
236.01507917362505,77.79448391626615,4.2679734,0.09789324
184.22901799226085,86.43577389760107,6.216938,0.6009283
316.14444029508445,5.5028676953966045,4.9842887,1.8277111
328.4071241145152,19.175045627173915,6.2890573,2.6913939
328.57241137059356,19.718072056324708,6.1252646,1.0904994
324.43976335059347,19.31867092906481,5.3765383,0.45338488
338.14862219721203,20.230160336173558,6.3501587,0.44761133
327.4170421346138,41.14876054397404,6.344054,0.66925955
331.46029553114715,45.11248042306186,6.494222,-0.032437325
325.0466635666042,43.273906597881656,4.358688,1.9905725
321.3326772633923,46.71455529415191,5.502326,0.47080708
340.12915879559546,44.27635611227785,4.0652237,1.4854014
339.5725010309393,45.182930130253965,6.183164,0.9749851
341.31621776873413,47.20377848729154,6.4742856,2.9593863
